x,y,labels
7.301563,7.8206635,3
7.5272813,6.3557634,3
7.5997844,10.50203,3
7.457226,10.518395,3
7.86664,9.43291,3
5.866645,5.572256,3
7.1913714,11.349661,3
7.1922727,6.71483,3
7.3459373,10.1237,3
5.053806,6.716213,3
7.5399427,7.970202,3
7.460825,8.168264,3
7.3908324,6.413428,3
6.221516,5.732089,3
7.2603836,6.693536,3
6.816046,10.634445,3
7.5395427,6.098501,3
6.866053,5.411076,3
6.978964,8.0065,3
7.576819,6.000439,3
7.477916,6.2213445,3
7.225777,10.320685,3
7.439727,8.137143,3
7.344605,6.1818466,3
7.971067,6.1178184,3
7.764215,6.288905,3
7.3979506,6.2130375,3
7.8124394,6.1928377,3
7.1367893,11.00874,3
6.167001,5.604093,3
7.722178,10.750258,3
6.084401,5.738261,3
7.975274,6.141418,3
5.1983986,5.2737985,3
6.105145,5.437189,3
2.8912663,5.860313,3
4.798773,5.322878,3
7.161224,5.689861,3
7.956362,6.186087,3
5.4495893,5.1895537,3
7.2016706,6.014725,3
5.513294,5.279679,3
7.4014153,10.503422,3
5.5944552,5.266064,3
7.950742,6.163761,3
6.322295,8.969502,3
7.9731526,6.0797997,3
5.465413,5.1600404,3
7.398726,6.1788406,3
7.1008263,11.4536495,3
7.1968,5.75385,3
7.979164,6.135208,3
7.9254494,6.0064445,3
5.66323,5.415384,3
7.543749,10.5149975,3
5.2200823,5.2269025,3
7.8382344,6.1385226,3
6.3856616,5.3948126,3
6.124497,5.572479,3
4.77807,5.2746286,3
7.4295545,6.193311,3
7.92078,6.1692505,3
5.6888,5.384039,3
7.485464,6.225719,3
5.314732,5.190372,3
7.554176,7.988286,3
6.9913707,11.983534,3
7.9825974,6.1456046,3
7.9637885,6.1482387,3
7.186958,11.000772,3
4.404988,8.247273,3
7.2244773,10.845752,3
7.3566628,10.118432,3
5.359779,5.434181,3
7.4900584,7.973003,3
5.2873096,5.4142356,3
7.4611506,10.514675,3
7.1084003,10.777989,3
5.4050837,5.4529324,3
5.4362226,5.482513,3
6.14838,5.681065,3
6.648444,5.5907907,3
7.5454164,7.616544,3
7.534372,7.5814857,3
7.5363765,7.4765,3
7.5573883,7.5870485,3
7.45273,7.353528,3
7.487495,7.3815875,3
5.744881,5.6200914,3
7.526535,7.3481255,3
7.5450263,7.9414973,3
7.4279957,6.105637,3
6.8191986,5.5954924,3
7.7943645,5.9747725,3
7.904509,6.0056314,3
7.118653,10.090699,3
7.7681055,6.3412356,3
5.5643754,5.355811,3
6.52043,5.7578764,3
7.49592,10.451964,3
7.4298906,10.217681,3
7.495057,8.117466,3
7.4960485,10.36509,3
6.3070264,5.629893,3
7.374566,5.9148054,3
7.652228,6.379998,3
7.863512,6.0723224,3
7.8984075,6.035821,3
7.90554,6.1291566,3
6.7270346,10.222544,-1
7.753588,6.5657353,3
7.4450502,6.1278834,3
7.4743104,6.0830226,3
5.650991,5.434077,3
6.282744,5.7155666,3
7.348642,6.1539407,3
7.5913877,6.0131154,3
7.389484,6.590778,3
7.424227,6.1146054,3
7.483239,6.070635,3
7.4846735,5.9088445,3
7.4060125,6.4066567,3
7.5961156,6.0773916,3
7.9369507,6.126592,3
7.249488,11.390577,3
7.6576357,6.4506974,3
5.3111973,5.4072056,3
5.3230867,5.3972864,3
5.2223854,5.339866,3
5.2745523,5.3166475,3
5.2884817,5.346105,3
5.2020154,5.352471,3
5.2661567,5.328844,3
5.270327,5.25272,3
5.0449114,6.0510306,3
5.3200183,11.079189,3
5.996861,7.8454742,3
5.09335,5.5365314,3
5.2563896,5.4098773,3
6.2826686,5.602504,3
6.026291,5.540744,3
6.110479,5.5529428,3
6.122426,5.574708,3
5.2946978,5.460359,3
7.04411,5.568208,3
7.142532,11.134236,3
4.5506396,5.8085504,3
6.404813,5.6615496,3
7.4682426,10.246486,3
6.3757644,5.627364,3
6.469117,5.6429753,3
4.261436,9.473162,3
4.567078,9.23463,3
3.6467192,7.8101034,3
3.7805204,7.8798113,3
3.8075893,7.5103207,3
7.4076867,10.303677,3
3.3499894,8.614977,3
2.7281108,7.9151244,3
6.805141,10.19548,3
7.341432,6.4638762,3
3.847647,7.3093586,3
